{'guid': '85709db3-6ab2-47b1-813b-d9e792763b05', 'typeName': 'business.Category', 'bussinessDomain': '第一批数据'}
{'guid': 'e4b26e7a-9361-4db9-a478-40c086c752cb', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'bcb768b5-98a3-4a40-9f45-6ffa00a13393', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ce3253cc-5f9a-4bc3-83f1-6cc30f3a00ad', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '65a8dc3e-e00f-4334-b57e-9e78ed249e2f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '641d6ddd-5978-4ee0-97a0-397e19cee9ae', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '2f82dfcd-d7ce-481a-b85c-0bef9aa9007e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '73cc6f41-2279-4aa6-b5a0-8b54c3c013e8', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b2ee1244-e482-44ca-ad82-453fd51336f7', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9dcd1a43-e1f9-4ace-974d-6469bd92998c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '4244cb77-d716-4dae-9635-065c3f6ff201', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0ffcb2f9-a26e-4e57-80f8-3f53695b231e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fb840e40-c6d8-4d6e-a0ca-daeaa3b37879', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ffda1196-eac6-49ba-9de9-3b23cd67ea29', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '433c563c-b957-4b4a-9330-1bf75f0a8fb5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3f08d8d5-95ba-43a8-bc5c-eeb6023a168a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '7702b7e6-defa-47ff-9c65-dcc4b29e621f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b804c3ec-b2d9-4585-a83a-cbf894386436', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '760de702-c420-47d5-af53-85f57e6e0e42', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '939ceecf-0ff6-4995-82d3-7e7830dc8176', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '7e641b6f-c1db-40fe-a50f-67805f32c564', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '99cdbe7f-239a-4c41-9998-6e56b89ad3ce', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0caf8dee-f0dc-4866-a229-c1b825d381f8', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '6308ed66-4b2e-4ed4-b8d2-b40775c003aa', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '2ac9447b-2a64-4e0c-ba29-8cafe08d33bf', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'f4ec496f-f4d5-4814-8265-bcd458d9cc0b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '77cd4fc6-329f-4143-a528-5643c9d60602', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '5df15714-da56-47d1-aae5-9b1d34e6ebd8', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '329be13d-399f-4eae-9ed7-25e81e6aa9c6', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fff421dd-2f1c-428e-a617-2226359f582c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'f4fa7cfd-35d8-4bd1-abe9-ef0242131fd4', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9b1e46de-61b6-41ab-9a45-82550d071ebc', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e9d09fa1-dd0e-4587-be50-a831f7097f3d', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e4bb2404-14a0-413a-9f9b-86dee9a55a86', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '77731bbb-c5dd-4ff9-8237-7729017b9687', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'deb07339-6ef4-40ec-a2dc-1b4ed341c485', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3ce15987-fe91-4f99-824c-d9836f4b57b6', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9382daab-2c7f-4d5c-9ad8-1754b66dac2e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'd208b999-6f6f-4f93-9bf2-111c4db777fa', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ea24adc0-ba8f-44f1-8ea1-ee326d81e630', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c40a514a-e156-4917-bd56-848f0d12d3f9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '89f0ebf1-e12b-4832-be08-0268efb90da4', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '1bf3fe32-358d-4fed-bad2-777b87f0a2d0', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '4f7b6824-ee4f-42e1-a91a-3007551afb09', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'a52ffd67-b571-4fe4-a8aa-d1ab1f41e526', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ecfc4a7e-c1d8-47ff-b2dc-959103738096', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '6e96fedf-fdd1-4217-be1d-dfeee2f73d7a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '87522bb9-f898-49ec-9573-44652de3f04b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '8af09602-0d6c-4ba3-bcbc-ad5dcdd8d968', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3e28a6ee-d709-4853-b6ff-157a7bd73a11', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'a79d7f16-6994-4ad7-b42b-a9935f255ad9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '648eb073-67ef-4e9a-b158-78aae71dca36', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '1f32064c-a014-4eea-b755-97c41ea206c0', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fa9cba88-85db-492c-b677-00b35f7ae430', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0766ba9f-bbd2-4c92-8458-0261d46007d7', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9721132a-fa00-46e8-ad32-8ef15de599fe', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e339f0db-8530-434a-9d6a-e82f7b9b7026', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '03e090d6-23a9-4cac-86d5-d3b121c6d26f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ecd2eb07-6523-4796-aaef-803e83865f7c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'bee731a1-cb56-4901-b35c-b6faf0a33e56', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3655445f-b4fc-4e88-950a-2811788d49b5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'f44f8f82-d766-4b8a-b916-11467a670a79', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '76b8f191-d4aa-4d37-9bd7-fb6547877c87', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9eded2d4-105e-4439-a735-fc800fe35cf7', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '7c21db0c-f14d-4ce9-8ad0-f0a66fd3ad71', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '186c38dc-ad57-405b-882c-01dae9275aa2', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '9d9a7a54-5342-41b0-b065-c53686a91c34', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '17411f43-7a8f-4c79-9bbf-ae8ae14adc41', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'dc8e8ccb-28cd-42c3-8d5b-e65fa7afd462', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'bebeb2d6-3dcf-47ed-886f-f3eecd73def9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '69dfcf39-947d-4d52-8e26-e7bb6e94e749', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'efcb09cd-de4a-498f-b187-d362463dadc5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e59f9aec-7ed8-4ea4-a6d3-85cf7cf21fc5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '61411426-2523-44e7-9563-30de034f0521', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '8e7380d1-1556-425c-92c0-6254cf0db270', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c0744775-8598-4730-b5e0-20ffc72d352b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'a3bc1280-1984-4028-b5bc-9fe3e0e3be8d', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '09e82523-555c-471c-a2d2-c39a3bc89607', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3aaddcd9-b6f3-4d89-ae00-760e2fd53754', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '2f81c3b5-fb1a-47f4-82e8-6a628091c59c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '74226b1e-af5c-493d-adbc-e8d4939a161a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'cd39793e-8c2b-46aa-b47f-e9ca06a93d02', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '61185c6c-2f1e-49ef-a064-0b06dc03048b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '737b620e-db6e-4555-817f-38a016bbc9e6', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0c402d50-814c-4fcd-af39-12fc28658132', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'f454f265-f5e7-46ac-9a78-bdf85a15fa3f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '58e985b5-014f-45cc-a255-a428f17fc406', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c34f736d-f7bd-43a6-b62a-331ffc1fb247', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'a47f092d-6432-434e-a6ab-2cc571803d71', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b2e6cca1-2ae5-43da-9290-9b9659dd170c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'efec22e5-7b19-417c-9032-453e18ffa1fc', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b2ecf3b4-fd14-4f9a-808d-f475ede90d08', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '036fd112-cf08-4f14-a195-d6748e6a400c', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e53d75f7-3750-45c7-bdbf-2e1224be8263', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'ca9673e8-7199-46fd-848a-b41e866497a5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '200b90ba-541b-4184-9e1c-1c9a5a04483d', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '6019b2bc-8c73-4a70-b43c-5817bca6703e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '15b20c59-9a6b-4042-a338-9ac73ca92ac0', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fcbae41c-cd7f-44ec-8813-e040616e7406', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '91f63b0d-cb73-47ab-b01f-37dc5a841afb', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '11036833-1ee6-40e9-a6a0-f05f4e6f89e1', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '6e74acf2-a0f3-42c2-ad66-d6c2176bd34f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '03582501-3d9e-4e0d-8bbc-49f6f55de7a9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'da08540a-a292-4037-a6c7-0c7a27e3f91e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fb3d7739-d70b-417e-b915-413146a073a3', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'af3d0cb1-0a09-4e48-8d34-7f1f69a58c1f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'f8a328c4-0d69-40a2-9cf9-f9f8f12ef6bd', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c7d5fcd7-14f0-4d01-ac9d-db56984e273a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '01822e9c-7f05-4131-9a3d-d92289dc742f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b204abe8-e87b-4310-bdf7-5a762f19d7d3', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c8f84975-85eb-43d1-850f-036eec12b80e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '685c01ba-6da3-424f-9228-23dc77820f7d', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'a9bbda1d-4422-4ba8-ad75-1c25f934a4bc', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c7600490-125b-4989-ab6e-99832519e28a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'dca447b8-b6f4-447e-9a02-c37f1689655d', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '454b386c-7648-43de-97e3-923618807026', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '293e1322-7d5b-40fe-8388-ce0cb229d18b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'c0b24ea0-fe45-4a5c-8e2c-f271feb555e9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '961f8eae-0ab7-4f8c-95af-583c85332137', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '03dfdc02-3dc9-4b49-9b77-f5d40f883013', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '78f36fab-1227-4408-a262-f3f3f3f918b7', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0ae9631e-e21f-45a9-861c-b895f92a4cfb', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '0e973f5e-95d4-47a3-aee5-203787fb9a36', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '3bb3a445-561a-4120-811f-d28b4daa9c61', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '5bdf7690-598a-4d66-81d6-d953d509da2f', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
